,Dia,Hora,GEN,NOC,VHC,COFGEN,COFNOC,COFVHC,PMHGEN,PMHNOC,PMHVHC,SAHGEN,SAHNOC,SAHVHC,FOMGEN,FOMNOC,FOMVHC,FOSGEN,FOSNOC,FOSVHC,INTGEN,INTNOC,INTVHC,PCAPGEN,PCAPNOC,PCAPVHC,TEUGEN,TEUNOC,TEUVHC,CCVGEN,CCVNOC,CCVVHC
0,2018-01-01,00-01,76.13,27.95,30.55,9.6953554e-05,0.000214992491,0.000178579507,7.77,7.37,7.82,14.96,14.19,15.06,0.04,0.04,0.04,0.16,0.16,0.16,1.7,1.61,1.71,5.93,0.98,1.4,44.03,2.22,2.88,1.54,1.39,1.48
1,2018-01-01,01-02,74.24,26.15,23.8,8.0509285e-05,0.00020021778,0.000186379298,5.39,5.11,4.93,15.48,14.68,14.17,0.04,0.04,0.04,0.16,0.16,0.15,1.7,1.61,1.56,5.93,0.98,0.75,44.03,2.22,0.89,1.51,1.36,1.31
2,2018-01-01,02-03,73.05,25.03,22.72,6.8760609e-05,0.000184439245,0.000175291437,4.29,4.07,3.93,15.41,14.62,14.11,0.04,0.04,0.04,0.16,0.16,0.15,1.7,1.61,1.56,5.93,0.98,0.75,44.03,2.22,0.89,1.49,1.34,1.29
3,2018-01-01,03-04,69.48,21.64,19.45,6.1420049e-05,0.000172093262,0.000166024,2.71,2.57,2.48,13.47,12.77,12.33,0.04,0.04,0.04,0.16,0.16,0.15,1.7,1.61,1.56,5.93,0.98,0.75,44.03,2.22,0.89,1.44,1.29,1.25
4,2018-01-01,04-05,70.25,22.37,20.15,5.7569705e-05,0.000165839973,0.00015540278,2.7,2.56,2.47,14.23,13.5,13.03,0.04,0.04,0.04,0.16,0.16,0.15,1.7,1.61,1.56,5.93,0.98,0.75,44.03,2.22,0.89,1.45,1.3,1.26
5,2018-01-01,05-06,68.43,20.64,18.48,5.6343866e-05,0.000172901965,0.00014860688,2.42,2.29,2.22,12.72,12.07,11.65,0.04,0.04,0.04,0.16,0.16,0.15,1.7,1.61,1.56,5.93,0.98,0.75,44.03,2.22,0.89,1.42,1.28,1.23
6,2018-01-01,06-07,72.4,24.41,22.13,5.7973761e-05,0.000175791715,0.000144444749,2.39,2.27,2.19,16.67,15.81,15.26,0.04,0.04,0.04,0.16,0.16,0.15,1.7,1.61,1.56,5.93,0.98,0.75,44.03,2.22,0.89,1.48,1.33,1.29
7,2018-01-01,07-08,72.14,24.17,26.54,6.2163842e-05,0.000172317835,0.000140507149,2.39,2.27,2.41,16.41,15.56,16.51,0.04,0.04,0.04,0.16,0.16,0.16,1.7,1.61,1.71,5.93,0.98,1.4,44.03,2.22,2.88,1.48,1.33,1.42
8,2018-01-01,08-09,70.91,23.3,25.43,7.227784e-05,0.000134842818,7.6710175e-05,2.6,2.48,2.61,15.3,14.61,15.38,0.04,0.04,0.04,0.16,0.15,0.16,1.64,1.57,1.65,5.72,0.95,1.35,44.03,2.22,2.88,1.42,1.29,1.36
9,2018-01-01,09-10,69.4,22.02,23.99,9.1961587e-05,0.000112315,4.7332342e-05,2.57,2.47,2.59,13.99,13.41,14.05,0.04,0.04,0.04,0.16,0.15,0.16,1.61,1.55,1.62,5.62,0.94,1.33,44.03,2.22,2.88,1.38,1.26,1.32
10,2018-01-01,10-11,66.06,18.88,20.67,0.00011152289,0.000116381824,5.3014797e-05,2.56,2.46,2.58,10.78,10.35,10.83,0.04,0.04,0.04,0.15,0.15,0.15,1.6,1.54,1.61,5.57,0.93,1.31,44.03,2.22,2.88,1.32,1.2,1.26
11,2018-01-01,11-12,65.97,18.66,20.5,0.000122264861,0.0001100323,5.6632655e-05,2.69,2.58,2.71,10.42,9.97,10.47,0.04,0.04,0.04,0.16,0.15,0.16,1.63,1.56,1.64,5.67,0.94,1.34,44.03,2.22,2.88,1.34,1.21,1.28
12,2018-01-01,12-13,65.54,83.92,20.03,0.000126564625,8.3974289e-05,5.6857579e-05,2.71,2.74,2.72,9.88,9.99,9.94,0.04,0.04,0.04,0.16,0.16,0.16,1.65,1.66,1.65,5.73,5.96,1.35,44.03,62.01,2.88,1.34,1.36,1.28
13,2018-01-01,13-14,65.79,84.21,84.21,0.000130977944,8.3187476e-05,5.7638302e-05,2.78,2.81,2.81,9.87,9.99,9.99,0.04,0.04,0.04,0.16,0.16,0.16,1.68,1.7,1.7,5.85,6.1,6.1,44.03,62.01,62.01,1.37,1.39,1.39
14,2018-01-01,14-15,69.8,88.27,88.27,0.00013009066,8.2121834e-05,5.9639656e-05,6.26,6.33,6.33,10.36,10.48,10.48,0.04,0.04,0.04,0.16,0.16,0.16,1.68,1.7,1.7,5.84,6.09,6.09,44.03,62.01,62.01,1.43,1.45,1.45
15,2018-01-01,15-16,70.6,89.09,89.09,0.000117793402,7.3947458e-05,5.482405e-05,6.16,6.24,6.24,11.21,11.34,11.34,0.04,0.04,0.04,0.16,0.16,0.16,1.69,1.71,1.71,5.87,6.12,6.12,44.03,62.01,62.01,1.44,1.47,1.47
16,2018-01-01,16-17,69.87,88.35,88.35,0.000111840699,6.9617198e-05,5.0836453e-05,6.29,6.36,6.36,10.39,10.51,10.51,0.04,0.04,0.04,0.16,0.16,0.16,1.68,1.7,1.7,5.86,6.11,6.11,44.03,62.01,62.01,1.43,1.45,1.45
17,2018-01-01,17-18,74.21,92.73,92.73,0.000114115046,7.1943328e-05,5.2212083e-05,11.27,11.4,11.4,9.6,9.71,9.71,0.04,0.04,0.04,0.16,0.16,0.16,1.7,1.72,1.72,5.9,6.15,6.15,44.03,62.01,62.01,1.5,1.52,1.52
18,2018-01-01,18-19,82.52,101.14,101.14,0.000129682689,0.000125507186,0.000141034007,20.14,20.37,20.37,9.0,9.11,9.11,0.04,0.04,0.04,0.16,0.16,0.16,1.68,1.7,1.7,5.85,6.1,6.1,44.03,62.01,62.01,1.62,1.64,1.64
19,2018-01-01,19-20,88.3,107.0,107.0,0.00014155381,0.000156011067,0.000214491079,27.62,27.95,27.95,7.29,7.38,7.38,0.04,0.04,0.04,0.16,0.16,0.16,1.67,1.69,1.69,5.8,6.05,6.05,44.03,62.01,62.01,1.7,1.72,1.72
20,2018-01-01,20-21,85.53,104.17,104.17,0.000150502632,0.000161460634,0.000220404087,24.94,25.22,25.22,7.28,7.36,7.36,0.04,0.04,0.04,0.16,0.16,0.16,1.66,1.68,1.68,5.77,6.02,6.02,44.03,62.01,62.01,1.65,1.67,1.67
21,2018-01-01,21-22,87.61,106.26,106.26,0.000151802927,0.000166881323,0.000223764342,27.56,27.87,27.87,6.65,6.73,6.73,0.04,0.04,0.04,0.16,0.16,0.16,1.67,1.69,1.69,5.81,6.05,6.05,44.03,62.01,62.01,1.69,1.71,1.71
22,2018-01-01,22-23,90.73,41.79,109.48,0.000134244429,0.000212158258,0.000212136781,30.2,28.64,30.57,6.91,6.56,7.0,0.04,0.04,0.04,0.16,0.16,0.17,1.7,1.61,1.72,5.93,0.98,6.18,44.03,2.22,62.01,1.76,1.6,1.78
23,2018-01-01,23-24,83.03,34.5,37.5,0.000110238544,0.000221117776,0.00018903111,20.81,19.74,20.94,8.72,8.27,8.77,0.04,0.04,0.04,0.16,0.16,0.16,1.7,1.61,1.71,5.93,0.98,1.4,44.03,2.22,2.88,1.64,1.49,1.58
24,2018-01-02,00-01,129.15,79.03,84.03,0.000102238551,0.000236638225,0.000184844653,73.78,70.55,74.2,1.36,1.3,1.36,0.04,0.04,0.04,0.16,0.15,0.16,1.79,1.71,1.8,5.7,0.95,1.35,44.03,2.22,2.88,2.29,2.12,2.24
25,2018-01-02,01-02,127.1,76.88,73.15,8.0779545e-05,0.000216079194,0.000196026462,71.7,68.4,66.38,1.38,1.31,1.27,0.04,0.04,0.04,0.16,0.15,0.15,1.8,1.71,1.66,5.74,0.95,0.74,44.03,2.22,0.89,2.27,2.1,2.03
26,2018-01-02,02-03,124.34,74.24,70.48,7.1455257e-05,0.000199926981,0.000189488311,68.83,65.68,63.63,1.49,1.42,1.38,0.04,0.04,0.04,0.16,0.15,0.15,1.8,1.72,1.67,5.76,0.96,0.74,44.03,2.22,0.89,2.23,2.06,1.99
27,2018-01-02,03-04,119.4,69.46,65.85,6.749094e-05,0.000189709348,0.000181978389,63.39,60.44,58.56,2.03,1.94,1.88,0.04,0.04,0.04,0.16,0.15,0.15,1.81,1.73,1.67,5.78,0.96,0.74,44.03,2.22,0.89,2.16,1.99,1.93
28,2018-01-02,04-05,114.81,65.09,61.56,6.6587976e-05,0.000185714298,0.000172044504,58.64,55.92,54.13,2.26,2.15,2.09,0.04,0.04,0.04,0.16,0.15,0.15,1.81,1.73,1.67,5.78,0.96,0.74,44.03,2.22,0.89,2.09,1.93,1.86
29,2018-01-02,05-06,113.41,63.87,60.48,6.9238337e-05,0.000195674058,0.000166650291,56.95,54.38,52.73,2.63,2.51,2.43,0.04,0.04,0.04,0.16,0.15,0.15,1.8,1.72,1.66,5.74,0.95,0.74,44.03,2.22,0.89,2.06,1.9,1.84
30,2018-01-02,06-07,120.85,71.23,67.77,8.2835051e-05,0.000205101256,0.000166220803,64.94,62.18,60.42,2.1,2.01,1.95,0.04,0.04,0.04,0.16,0.15,0.15,1.77,1.7,1.65,5.65,0.94,0.73,44.03,2.22,0.89,2.16,2.0,1.94
31,2018-01-02,07-08,126.63,76.97,81.47,0.000116184833,0.000207976353,0.000159506979,71.4,68.49,71.69,1.45,1.39,1.45,0.04,0.04,0.04,0.15,0.15,0.15,1.75,1.68,1.76,5.58,0.93,1.32,44.03,2.22,2.88,2.23,2.08,2.18
32,2018-01-02,08-09,125.65,76.66,80.63,0.000140573022,0.000162197072,8.4934681e-05,70.85,68.42,71.15,1.3,1.25,1.3,0.04,0.04,0.04,0.15,0.14,0.15,1.69,1.64,1.7,5.41,0.91,1.28,44.03,2.22,2.88,2.19,2.05,2.13
33,2018-01-02,09-10,124.38,75.72,79.41,0.000153512578,0.000146120429,7.2707126e-05,69.89,67.71,70.19,1.11,1.07,1.11,0.04,0.04,0.04,0.15,0.14,0.15,1.67,1.62,1.68,5.34,0.9,1.26,44.03,2.22,2.88,2.16,2.02,2.1
34,2018-01-02,10-11,123.76,75.2,78.74,0.00016516987,0.000139261664,7.1045514e-05,69.17,67.07,69.41,1.24,1.2,1.25,0.04,0.04,0.04,0.15,0.14,0.15,1.67,1.62,1.67,5.32,0.9,1.25,44.03,2.22,2.88,2.14,2.01,2.09
35,2018-01-02,11-12,122.7,74.16,77.73,0.000165973397,0.000123305424,6.7727749e-05,68.17,66.1,68.47,1.19,1.15,1.19,0.04,0.04,0.04,0.15,0.14,0.15,1.67,1.62,1.68,5.33,0.9,1.26,44.03,2.22,2.88,2.13,2.0,2.08
36,2018-01-02,12-13,120.29,138.98,75.27,0.000167543152,9.2069991e-05,6.435593e-05,65.72,66.18,65.95,1.3,1.31,1.3,0.04,0.04,0.04,0.15,0.15,0.15,1.66,1.67,1.67,5.31,5.51,1.25,44.03,62.01,2.88,2.09,2.11,2.03
37,2018-01-02,13-14,118.08,136.81,136.81,0.000170379186,9.2069383e-05,6.3873421e-05,63.41,63.9,63.9,1.39,1.4,1.4,0.04,0.04,0.04,0.15,0.15,0.15,1.67,1.68,1.68,5.33,5.54,5.54,44.03,62.01,62.01,2.06,2.08,2.08
38,2018-01-02,14-15,109.59,128.3,128.3,0.000162688921,8.9912485e-05,6.1680933e-05,54.42,54.88,54.88,1.97,1.99,1.99,0.04,0.04,0.04,0.15,0.15,0.15,1.68,1.7,1.7,5.37,5.58,5.58,44.03,62.01,62.01,1.94,1.96,1.96
39,2018-01-02,15-16,107.95,126.59,126.59,0.000154537868,8.5052693e-05,5.6981386e-05,52.59,52.99,52.99,2.13,2.15,2.15,0.04,0.04,0.04,0.15,0.15,0.15,1.69,1.7,1.7,5.4,5.61,5.61,44.03,62.01,62.01,1.92,1.94,1.94
40,2018-01-02,16-17,107.5,126.2,126.2,0.000153935549,8.2324972e-05,5.5031643e-05,52.09,52.54,52.54,2.21,2.23,2.23,0.04,0.04,0.04,0.15,0.15,0.15,1.69,1.7,1.7,5.38,5.6,5.6,44.03,62.01,62.01,1.91,1.93,1.93
41,2018-01-02,17-18,109.04,127.7,127.7,0.000160993394,8.3025587e-05,5.9972544e-05,53.77,54.18,54.18,2.09,2.1,2.1,0.04,0.04,0.04,0.15,0.15,0.15,1.68,1.69,1.69,5.37,5.57,5.57,44.03,62.01,62.01,1.93,1.95,1.95
42,2018-01-02,18-19,117.31,136.04,136.04,0.000174272335,0.000102510184,7.3414701e-05,62.19,62.68,62.68,1.83,1.84,1.84,0.04,0.04,0.04,0.15,0.15,0.15,1.68,1.69,1.69,5.35,5.56,5.56,44.03,62.01,62.01,2.05,2.07,2.07
43,2018-01-02,19-20,122.81,141.65,141.65,0.000195092305,0.000178100417,0.000220441879,67.7,68.28,68.28,1.7,1.71,1.71,0.04,0.04,0.04,0.15,0.15,0.15,1.68,1.7,1.7,5.38,5.59,5.59,44.03,62.01,62.01,2.14,2.16,2.16
44,2018-01-02,20-21,124.91,143.76,143.76,0.000203851638,0.000192910456,0.000244397298,69.78,70.38,70.38,1.59,1.6,1.6,0.04,0.04,0.04,0.15,0.15,0.15,1.7,1.72,1.72,5.44,5.65,5.65,44.03,62.01,62.01,2.18,2.2,2.2
