,Dia,Hora,GEN,NOC,VHC,COFGEN,COFNOC,COFVHC,PMHGEN,PMHNOC,PMHVHC,SAHGEN,SAHNOC,SAHVHC,FOMGEN,FOMNOC,FOMVHC,FOSGEN,FOSNOC,FOSVHC,INTGEN,INTNOC,INTVHC,PCAPGEN,PCAPNOC,PCAPVHC,TEUGEN,TEUNOC,TEUVHC
0,2016-01-01,00-01,116.32,67.4,71.24,0.000105377679,0.000224370905,0.000173403024,57.45,55.28,57.7,7.01,6.75,7.04,0.03,0.03,0.03,0.13,0.12,0.13,2.16,2.07,2.16,5.51,0.92,1.3,44.03,2.22,2.88
1,2016-01-01,01-02,110.68,61.39,58.12,8.8366462e-05,0.000211410142,0.000175942744,49.28,47.08,45.68,9.28,8.86,8.6,0.03,0.03,0.03,0.13,0.13,0.12,2.23,2.13,2.07,5.7,0.95,0.74,44.03,2.22,0.89
2,2016-01-01,02-03,106.93,57.23,53.81,7.5391743e-05,0.000195938887,0.000168841631,42.89,40.68,39.27,11.6,11.0,10.62,0.03,0.03,0.03,0.14,0.13,0.13,2.32,2.2,2.12,5.93,0.98,0.75,44.03,2.22,0.89
3,2016-01-01,03-04,102.22,52.76,49.5,6.7063402e-05,0.000183284687,0.000160760488,36.54,34.66,33.46,13.24,12.55,12.12,0.03,0.03,0.03,0.14,0.13,0.13,2.32,2.2,2.12,5.93,0.98,0.75,44.03,2.22,0.89
4,2016-01-01,04-05,101.32,51.91,48.68,6.2444738e-05,0.000178358699,0.000154529706,34.73,32.94,31.8,14.16,13.43,12.96,0.03,0.03,0.03,0.14,0.13,0.13,2.32,2.2,2.12,5.93,0.98,0.75,44.03,2.22,0.89
5,2016-01-01,05-06,99.81,50.48,47.29,6.0811447e-05,0.000185107184,0.00015182829,32.23,30.57,29.51,15.14,14.36,13.86,0.03,0.03,0.03,0.14,0.13,0.13,2.32,2.2,2.12,5.93,0.98,0.75,44.03,2.22,0.89
6,2016-01-01,06-07,94.68,45.61,42.59,6.2556233e-05,0.000186916071,0.000154134455,25.57,24.26,23.42,16.67,15.81,15.26,0.03,0.03,0.03,0.14,0.13,0.13,2.32,2.2,2.12,5.93,0.98,0.75,44.03,2.22,0.89
7,2016-01-01,07-08,92.15,43.21,46.74,6.6640069e-05,0.000180886525,0.00015986909,23.85,22.62,24.0,15.86,15.04,15.96,0.03,0.03,0.03,0.14,0.13,0.14,2.32,2.2,2.33,5.93,0.98,1.4,44.03,2.22,2.88
8,2016-01-01,08-09,88.75,40.4,43.42,7.6006703e-05,0.00013335983,9.8626674e-05,22.21,21.2,22.32,14.39,13.74,14.46,0.03,0.03,0.03,0.13,0.13,0.13,2.24,2.14,2.25,5.72,0.95,1.35,44.03,2.22,2.88
9,2016-01-01,09-10,89.31,41.36,44.1,9.4710867e-05,0.000110486589,5.4129213e-05,23.76,22.85,23.86,13.66,13.13,13.72,0.03,0.03,0.03,0.13,0.12,0.13,2.16,2.08,2.17,5.54,0.93,1.31,44.03,2.22,2.88
10,2016-01-01,10-11,92.0,43.85,46.8,0.000114547631,0.00011373412,5.8640448e-05,28.69,27.55,28.83,11.37,10.91,11.42,0.03,0.03,0.03,0.13,0.13,0.13,2.18,2.09,2.19,5.57,0.93,1.32,44.03,2.22,2.88
11,2016-01-01,11-12,94.56,46.22,49.32,0.000126559114,0.000104247265,6.2140048e-05,31.64,30.33,31.77,10.94,10.49,10.98,0.03,0.03,0.03,0.13,0.13,0.13,2.19,2.1,2.2,5.6,0.93,1.32,44.03,2.22,2.88
12,2016-01-01,12-13,94.68,113.34,49.49,0.000131266068,7.8740452e-05,6.1897174e-05,32.74,33.07,32.9,9.99,10.09,10.04,0.03,0.03,0.03,0.13,0.13,0.13,2.18,2.2,2.19,5.58,5.81,1.32,44.03,62.01,2.88
13,2016-01-01,13-14,96.29,115.08,115.08,0.000135161765,7.8000742e-05,6.034861e-05,33.75,34.15,34.15,10.22,10.34,10.34,0.03,0.03,0.03,0.14,0.14,0.14,2.28,2.31,2.31,5.84,6.09,6.09,44.03,62.01,62.01
14,2016-01-01,14-15,93.62,112.38,112.38,0.000135370131,7.6890437e-05,6.0904159e-05,31.38,31.75,31.75,10.0,10.12,10.12,0.03,0.03,0.03,0.14,0.14,0.14,2.26,2.29,2.29,5.79,6.04,6.04,44.03,62.01,62.01
15,2016-01-01,15-16,88.29,106.92,106.92,0.000123106569,6.9400205e-05,5.8415381e-05,24.65,24.91,24.91,11.58,11.71,11.71,0.03,0.03,0.03,0.13,0.13,0.13,2.21,2.24,2.24,5.66,5.89,5.89,44.03,62.01,62.01
16,2016-01-01,16-17,87.49,106.15,106.15,0.000117578655,6.6796501e-05,5.3516666e-05,24.09,24.37,24.37,11.22,11.35,11.35,0.03,0.03,0.03,0.13,0.14,0.14,2.24,2.27,2.27,5.74,5.98,5.98,44.03,62.01,62.01
17,2016-01-01,17-18,94.7,113.43,113.43,0.000120698222,7.1762883e-05,5.3201825e-05,30.59,30.94,30.94,11.93,12.06,12.06,0.03,0.03,0.03,0.13,0.14,0.14,2.25,2.27,2.27,5.75,5.99,5.99,44.03,62.01,62.01
18,2016-01-01,18-19,103.23,122.1,122.1,0.000137902271,0.000134564625,0.000155927717,42.56,43.07,43.07,8.3,8.4,8.4,0.03,0.03,0.03,0.14,0.14,0.14,2.3,2.32,2.32,5.88,6.13,6.13,44.03,62.01,62.01
19,2016-01-01,19-20,105.27,124.2,124.2,0.000149036877,0.000168408879,0.000236947634,45.31,45.88,45.88,7.57,7.66,7.66,0.03,0.03,0.03,0.14,0.14,0.14,2.3,2.33,2.33,5.89,6.15,6.15,44.03,62.01,62.01
20,2016-01-01,20-21,100.6,119.4,119.4,0.00015825124,0.000172773525,0.000239521877,41.56,42.02,42.02,6.81,6.89,6.89,0.03,0.03,0.03,0.14,0.14,0.14,2.26,2.28,2.28,5.78,6.02,6.02,44.03,62.01,62.01
21,2016-01-01,21-22,94.38,113.04,113.04,0.000160599176,0.000177420876,0.000236037652,35.71,36.06,36.06,6.72,6.78,6.78,0.03,0.03,0.03,0.13,0.13,0.13,2.18,2.2,2.2,5.58,5.81,5.81,44.03,62.01,62.01
22,2016-01-01,22-23,94.75,46.41,113.41,0.000142425862,0.000217761319,0.000204920465,36.63,35.11,36.99,6.15,5.89,6.21,0.03,0.03,0.03,0.13,0.13,0.13,2.19,2.1,2.21,5.6,0.93,5.83,44.03,2.22,62.01
23,2016-01-01,23-24,89.85,41.88,44.67,0.00011853912,0.000228175765,0.000187657466,29.53,28.4,29.68,8.43,8.1,8.47,0.03,0.03,0.03,0.13,0.13,0.13,2.17,2.08,2.18,5.54,0.93,1.31,44.03,2.22,2.88
24,2016-01-02,00-01,107.08,57.38,61.77,0.000102188434,0.00022939641,0.000177271917,49.32,46.78,49.63,5.18,4.92,5.22,0.03,0.03,0.03,0.14,0.13,0.14,2.46,2.33,2.47,5.93,0.98,1.4,44.03,2.22,2.88
25,2016-01-02,01-02,103.2,53.69,50.39,8.0681478e-05,0.000212713882,0.0001810903,44.91,42.59,41.11,5.72,5.42,5.23,0.03,0.03,0.03,0.14,0.13,0.13,2.46,2.33,2.25,5.92,0.98,0.75,44.03,2.22,0.89
26,2016-01-02,02-03,99.46,50.42,47.34,7.0991563e-05,0.000198012249,0.00017590184,41.07,39.11,37.84,5.95,5.67,5.48,0.03,0.03,0.03,0.14,0.13,0.13,2.42,2.3,2.23,5.82,0.96,0.75,44.03,2.22,0.89
27,2016-01-02,03-04,97.06,48.28,45.37,6.641773e-05,0.000188036595,0.000168300501,38.88,37.09,35.97,5.86,5.59,5.42,0.03,0.03,0.03,0.13,0.13,0.12,2.38,2.27,2.2,5.75,0.95,0.74,44.03,2.22,0.89
28,2016-01-02,04-05,95.55,46.94,44.1,6.5153631e-05,0.000183695208,0.000161810804,37.4,35.73,34.67,5.89,5.63,5.46,0.03,0.03,0.03,0.13,0.13,0.12,2.37,2.26,2.19,5.7,0.95,0.74,44.03,2.22,0.89
29,2016-01-02,05-06,97.43,48.97,46.17,6.7185401e-05,0.00018977526,0.000162029229,39.83,38.19,37.14,5.46,5.23,5.09,0.03,0.03,0.03,0.13,0.13,0.12,2.33,2.23,2.17,5.62,0.94,0.73,44.03,2.22,0.89
30,2016-01-02,06-07,101.29,53.03,50.28,7.9352767e-05,0.000199432109,0.000169395531,45.03,43.4,42.33,4.31,4.16,4.05,0.03,0.03,0.03,0.13,0.12,0.12,2.28,2.19,2.14,5.49,0.92,0.72,44.03,2.22,0.89
31,2016-01-02,07-08,113.33,64.57,68.29,0.000111642308,0.000198025196,0.00017175285,58.39,56.23,58.69,2.96,2.85,2.98,0.03,0.03,0.03,0.13,0.12,0.13,2.28,2.2,2.29,5.51,0.92,1.3,44.03,2.22,2.88
32,2016-01-02,08-09,114.66,65.79,69.56,0.000138097376,0.0001504227,0.000102513656,59.6,57.35,59.85,3.06,2.95,3.08,0.03,0.03,0.03,0.13,0.12,0.13,2.29,2.2,2.3,5.52,0.92,1.3,44.03,2.22,2.88
33,2016-01-02,09-10,108.01,60.42,63.1,0.000155110718,0.000131676833,7.4996129e-05,53.72,52.38,53.91,2.77,2.7,2.78,0.03,0.03,0.03,0.12,0.12,0.12,2.15,2.1,2.16,5.19,0.88,1.22,44.03,2.22,2.88
