,Dia,Hora,PCB,CYM,COF2TD,PMHPCB,PMHCYM,SAHPCB,SAHCYM,FOMPCB,FOMCYM,FOSPCB,FOSCYM,INTPCB,INTCYM,PCAPPCB,PCAPCYM,TEUPCB,TEUCYM,CCVPCB,CCVCYM,EDSRPCB,EDSRCYM,EDCGASPCB,EDCGASCYM
0,2023-01-01,00-01,41.45,41.45,0.0001228344,0.0,0.0,34.3,34.3,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.58,1.58,0.0,0.0,2.14,2.14
1,2023-01-01,01-02,43.01,43.01,0.000107832567,0.0,0.0,35.75,35.75,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.62,1.62,0.0,0.0,2.22,2.22
2,2023-01-01,02-03,58.07,58.07,9.2528004e-05,0.0,0.0,50.45,50.45,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.85,1.85,0.0,0.0,2.34,2.34
3,2023-01-01,03-04,60.69,60.69,8.128629e-05,0.0,0.0,53.42,53.42,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.9,1.9,0.0,0.0,1.94,1.94
4,2023-01-01,04-05,62.91,62.91,7.4880926e-05,-0.01,-0.01,55.53,55.53,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.94,1.94,0.0,0.0,2.03,2.03
5,2023-01-01,05-06,61.48,61.48,7.2753738e-05,-0.05,-0.05,54.17,54.17,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.92,1.92,0.0,0.0,2.02,2.02
6,2023-01-01,06-07,63.01,63.01,7.3147192e-05,0.0,0.0,55.63,55.63,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.94,1.94,0.0,0.0,2.02,2.02
7,2023-01-01,07-08,60.32,60.32,7.5463401e-05,-0.05,-0.05,52.96,52.96,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.89,1.89,0.0,0.0,2.1,2.1
8,2023-01-01,08-09,67.93,67.93,8.0004573e-05,-0.05,-0.05,60.06,60.06,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,2.0,2.0,0.0,0.0,2.5,2.5
9,2023-01-01,09-10,64.65,64.65,9.4888718e-05,-0.36,-0.36,57.34,57.34,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.93,1.93,0.0,0.0,2.32,2.32
10,2023-01-01,10-11,59.84,59.84,0.000113596532,-0.27,-0.27,52.6,52.6,0.04,0.04,0.19,0.19,0.0,0.0,0.0,0.0,3.18,3.18,1.84,1.84,0.0,0.0,2.25,2.25
11,2023-01-01,11-12,56.38,56.38,0.000124835713,-0.02,-0.02,48.91,48.91,0.04,0.04,0.19,0.19,0.0,0.0,0.0,0.0,3.18,3.18,1.78,1.78,0.0,0.0,2.3,2.3
12,2023-01-01,12-13,54.25,54.25,0.000128580694,0.0,0.0,46.87,46.87,0.04,0.04,0.19,0.19,0.0,0.0,0.0,0.0,3.18,3.18,1.75,1.75,0.0,0.0,2.22,2.22
13,2023-01-01,13-14,55.41,55.41,0.00013544154,0.12,0.12,47.86,47.86,0.04,0.04,0.19,0.19,0.0,0.0,0.0,0.0,3.18,3.18,1.76,1.76,0.0,0.0,2.26,2.26
14,2023-01-01,14-15,55.67,55.67,0.000135853703,0.12,0.12,48.17,48.17,0.04,0.04,0.19,0.19,0.0,0.0,0.0,0.0,3.18,3.18,1.77,1.77,0.0,0.0,2.2,2.2
15,2023-01-01,15-16,56.45,56.45,0.000121833795,0.01,0.01,49.8,49.8,0.04,0.04,0.19,0.19,0.0,0.0,0.0,0.0,3.18,3.18,1.79,1.79,0.0,0.0,1.44,1.44
16,2023-01-01,16-17,60.46,60.46,0.000115219223,1.15,1.15,53.18,53.18,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.86,1.86,0.0,0.0,0.86,0.86
17,2023-01-01,17-18,61.32,61.32,0.000118086374,4.82,4.82,50.52,50.52,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.88,1.88,0.0,0.0,0.68,0.68
18,2023-01-01,18-19,61.48,61.48,0.000138915316,17.47,17.47,38.35,38.35,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.88,1.88,0.0,0.0,0.36,0.36
19,2023-01-01,19-20,63.15,63.15,0.000152606606,23.67,23.67,34.02,34.02,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.91,1.91,0.0,0.0,0.13,0.13
20,2023-01-01,20-21,68.4,68.4,0.000162885212,29.62,29.62,32.85,32.85,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.98,1.98,0.0,0.0,0.53,0.53
21,2023-01-01,21-22,85.45,85.45,0.000167246315,47.52,47.52,31.07,31.07,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,2.24,2.24,0.0,0.0,1.2,1.2
22,2023-01-01,22-23,86.19,86.19,0.000156611986,47.47,47.47,32.0,32.0,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,2.26,2.26,0.0,0.0,1.04,1.04
23,2023-01-01,23-24,63.54,63.54,0.000135083921,18.97,18.97,38.54,38.54,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,1.92,1.92,0.0,0.0,0.68,0.68
24,2023-01-02,00-01,123.5,123.5,0.000117860062,75.99,75.99,37.97,37.97,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,2.82,2.82,0.0,0.0,3.31,3.31
25,2023-01-02,01-02,104.45,104.45,9.5344636e-05,52.71,52.71,42.86,42.86,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,2.54,2.54,0.0,0.0,2.92,2.92
26,2023-01-02,02-03,107.63,107.63,8.1687985e-05,52.88,52.88,45.73,45.73,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,2.59,2.59,0.0,0.0,3.01,3.01
27,2023-01-02,03-04,112.15,112.15,7.4232131e-05,53.05,53.05,49.31,49.31,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,2.66,2.66,0.0,0.0,3.71,3.71
28,2023-01-02,04-05,112.29,112.29,7.067244e-05,53.18,53.18,49.6,49.6,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,2.67,2.67,0.0,0.0,3.43,3.43
29,2023-01-02,05-06,135.0,135.0,7.0410236e-05,79.03,79.03,45.49,45.49,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,3.0,3.0,0.0,0.0,4.07,4.07
30,2023-01-02,06-07,157.13,157.13,7.3176696e-05,104.21,104.21,41.32,41.32,0.05,0.05,0.2,0.2,0.0,0.0,0.0,0.0,3.18,3.18,3.31,3.31,0.0,0.0,4.88,4.88
31,2023-01-02,07-08,161.61,161.61,8.3159628e-05,126.78,126.78,23.88,23.88,0.04,0.04,0.19,0.19,0.0,0.0,0.0,0.0,3.18,3.18,3.36,3.36,0.0,0.0,4.18,4.18
