,Dia,Hora,GEN,NOC,VHC,COFGEN,COFNOC,COFVHC,PMHGEN,PMHNOC,PMHVHC,SAHGEN,SAHNOC,SAHVHC,FOMGEN,FOMNOC,FOMVHC,FOSGEN,FOSNOC,FOSVHC,INTGEN,INTNOC,INTVHC,PCAPGEN,PCAPNOC,PCAPVHC,TEUGEN,TEUNOC,TEUVHC
0,2015-01-01,00-01,127.54,73.46,77.9,0.00010502115,0.000223194878,0.000153480093,58.76,56.62,59.06,10.78,10.39,10.83,0.03,0.03,0.03,0.13,0.12,0.13,2.22,2.14,2.23,11.6,1.94,2.74,44.03,2.22,2.88
1,2015-01-01,01-02,130.03,75.0,71.17,8.7286027e-05,0.000208135176,0.00015835195,59.05,56.49,54.85,12.47,11.93,11.58,0.03,0.03,0.03,0.13,0.13,0.12,2.3,2.2,2.14,12.02,2.0,1.55,44.03,2.22,0.89
2,2015-01-01,02-03,133.61,77.34,73.01,7.5093053e-05,0.000192434062,0.000152410249,60.42,57.3,55.32,14.03,13.31,12.85,0.03,0.03,0.03,0.14,0.13,0.13,2.41,2.28,2.2,12.56,2.07,1.6,44.03,2.22,0.89
3,2015-01-01,03-04,127.77,71.8,67.66,6.7767284e-05,0.000180973801,0.000143974743,53.41,50.66,48.91,15.19,14.41,13.91,0.03,0.03,0.03,0.14,0.13,0.13,2.41,2.28,2.2,12.56,2.07,1.6,44.03,2.22,0.89
4,2015-01-01,04-05,123.71,67.95,63.95,6.3733125e-05,0.000177409218,0.000136796323,48.82,46.3,44.7,15.73,14.92,14.4,0.03,0.03,0.03,0.14,0.13,0.13,2.41,2.28,2.2,12.56,2.07,1.6,44.03,2.22,0.89
5,2015-01-01,05-06,120.78,65.17,61.27,6.28371e-05,0.000184926546,0.00013528313,45.38,43.04,41.55,16.24,15.41,14.87,0.03,0.03,0.03,0.14,0.13,0.13,2.41,2.28,2.2,12.56,2.07,1.6,44.03,2.22,0.89
6,2015-01-01,06-07,118.97,63.45,59.6,6.5126278e-05,0.000186964699,0.000140480588,44.63,42.33,40.87,15.17,14.39,13.89,0.03,0.03,0.03,0.14,0.13,0.13,2.41,2.28,2.2,12.56,2.07,1.6,44.03,2.22,0.89
7,2015-01-01,07-08,119.45,63.91,69.1,6.9721742e-05,0.000181509035,0.00014906356,46.34,43.95,46.63,13.95,13.23,14.04,0.03,0.03,0.03,0.14,0.13,0.14,2.41,2.28,2.42,12.56,2.07,2.97,44.03,2.22,2.88
8,2015-01-01,08-09,114.18,58.91,63.8,7.9836695e-05,0.000131180331,9.7591452e-05,41.42,39.29,41.68,13.59,12.89,13.68,0.03,0.03,0.03,0.14,0.13,0.14,2.41,2.28,2.42,12.56,2.07,2.97,44.03,2.22,2.88
9,2015-01-01,09-10,117.92,62.82,67.68,9.9849697e-05,0.000110405693,5.615213e-05,46.02,43.79,46.27,12.99,12.36,13.07,0.03,0.03,0.03,0.14,0.13,0.14,2.37,2.25,2.38,12.35,2.04,2.92,44.03,2.22,2.88
10,2015-01-01,10-11,121.44,66.33,71.31,0.000120947873,0.000116111102,5.9630273e-05,53.48,50.95,53.78,9.18,8.74,9.23,0.03,0.03,0.03,0.14,0.13,0.14,2.34,2.23,2.36,12.24,2.03,2.89,44.03,2.22,2.88
11,2015-01-01,11-12,122.25,67.08,72.08,0.00013296345,0.000106630804,6.2724399e-05,56.52,53.85,56.83,6.9,6.57,6.94,0.03,0.03,0.03,0.14,0.13,0.14,2.35,2.24,2.37,12.28,2.04,2.9,44.03,2.22,2.88
12,2015-01-01,12-13,118.89,137.99,69.05,0.000138430398,7.9085139e-05,6.0274107e-05,54.18,54.72,54.45,6.49,6.55,6.52,0.03,0.03,0.03,0.13,0.13,0.13,2.26,2.28,2.27,11.78,12.26,2.78,44.03,62.01,2.88
13,2015-01-01,13-14,124.63,143.89,143.89,0.000141473415,7.9614228e-05,5.7791119e-05,59.33,59.99,59.99,6.45,6.53,6.53,0.03,0.03,0.03,0.14,0.14,0.14,2.36,2.38,2.38,12.29,12.81,12.81,44.03,62.01,62.01
14,2015-01-01,14-15,124.39,143.65,143.65,0.000142562856,7.8776262e-05,5.711522e-05,59.05,59.71,59.71,6.57,6.65,6.65,0.03,0.03,0.03,0.14,0.14,0.14,2.34,2.37,2.37,12.24,12.75,12.75,44.03,62.01,62.01
15,2015-01-01,15-16,118.78,137.93,137.93,0.000129924884,7.0145818e-05,5.8767247e-05,53.08,53.64,53.64,7.27,7.34,7.34,0.03,0.03,0.03,0.13,0.13,0.13,2.29,2.32,2.32,11.96,12.46,12.46,44.03,62.01,62.01
16,2015-01-01,16-17,121.38,140.55,140.55,0.000123502959,6.7234628e-05,5.2501601e-05,55.29,55.87,55.87,7.48,7.56,7.56,0.03,0.03,0.03,0.13,0.14,0.14,2.32,2.34,2.34,12.1,12.6,12.6,44.03,62.01,62.01
17,2015-01-01,17-18,125.34,144.55,144.55,0.000126432023,7.0717143e-05,5.0080931e-05,59.23,59.85,59.85,7.47,7.54,7.54,0.03,0.03,0.03,0.13,0.14,0.14,2.32,2.35,2.35,12.13,12.63,12.63,44.03,62.01,62.01
18,2015-01-01,18-19,137.19,156.67,156.67,0.000142581001,0.000129750224,0.000132779924,72.45,73.32,73.32,5.9,5.97,5.97,0.03,0.03,0.03,0.14,0.14,0.14,2.36,2.38,2.38,12.29,12.82,12.82,44.03,62.01,62.01
19,2015-01-01,19-20,141.88,161.4,161.4,0.000152553683,0.000168843904,0.000212354078,77.21,78.12,78.12,5.61,5.67,5.67,0.03,0.03,0.03,0.14,0.14,0.14,2.39,2.42,2.42,12.47,13.0,13.0,44.03,62.01,62.01
20,2015-01-01,20-21,141.7,161.16,161.16,0.000161767947,0.000172827319,0.000208073391,77.66,78.54,78.54,5.29,5.35,5.35,0.03,0.03,0.03,0.14,0.14,0.14,2.34,2.37,2.37,12.22,12.73,12.73,44.03,62.01,62.01
21,2015-01-01,21-22,136.01,155.27,155.27,0.000163250355,0.000177471732,0.00020504538,72.43,73.15,73.15,5.31,5.36,5.36,0.03,0.03,0.03,0.13,0.13,0.13,2.26,2.29,2.29,11.81,12.29,12.29,44.03,62.01,62.01
22,2015-01-01,22-23,134.39,79.52,153.64,0.000144891601,0.000217291111,0.000175713611,69.79,66.96,70.48,6.3,6.04,6.36,0.03,0.03,0.03,0.13,0.13,0.13,2.27,2.18,2.29,11.84,1.98,12.32,44.03,2.22,62.01
23,2015-01-01,23-24,126.59,72.28,76.83,0.000120480808,0.000227434425,0.000170610891,64.03,61.57,64.36,4.39,4.22,4.41,0.03,0.03,0.03,0.13,0.12,0.13,2.25,2.16,2.26,11.74,1.96,2.77,44.03,2.22,2.88
