,Dia,Hora,GEN,NOC,VHC,COFGEN,COFNOC,COFVHC,PMHGEN,PMHNOC,PMHVHC,SAHGEN,SAHNOC,SAHVHC,FOMGEN,FOMNOC,FOMVHC,FOSGEN,FOSNOC,FOSVHC,INTGEN,INTNOC,INTVHC,PCAPGEN,PCAPNOC,PCAPVHC,TEUGEN,TEUNOC,TEUVHC,CCVGEN,CCVNOC,CCVVHC
0,2020-01-01,00-01,107.12,57.59,61.8,0.000108492896,0.000177981652,0.000149412056,52.07,49.55,52.4,2.98,2.83,3.0,0.03,0.03,0.03,0.17,0.17,0.17,0.04,0.04,0.04,5.84,0.97,1.38,44.03,2.22,2.88,1.95,1.79,1.9
1,2020-01-01,01-02,104.07,54.69,51.42,9.0539995e-05,0.000162866449,0.000163963588,48.17,45.84,44.32,3.87,3.69,3.56,0.03,0.03,0.03,0.17,0.17,0.16,0.04,0.04,0.03,5.84,0.97,0.75,44.03,2.22,0.89,1.91,1.74,1.68
2,2020-01-01,02-03,103.72,54.12,50.8,7.6420094e-05,0.000147546589,0.000160350838,46.36,43.97,42.45,5.24,4.97,4.8,0.03,0.03,0.03,0.18,0.17,0.16,0.04,0.04,0.04,5.92,0.98,0.75,44.03,2.22,0.89,1.91,1.75,1.68
3,2020-01-01,03-04,100.27,50.84,47.64,6.7292775e-05,0.000135954243,0.00015263681,41.34,39.21,37.86,6.86,6.51,6.28,0.03,0.03,0.03,0.18,0.17,0.16,0.04,0.04,0.04,5.93,0.98,0.75,44.03,2.22,0.89,1.86,1.7,1.63
4,2020-01-01,04-05,98.81,49.46,46.31,6.2389053e-05,0.000130031426,0.00014468173,39.5,37.46,36.17,7.27,6.9,6.66,0.03,0.03,0.03,0.18,0.17,0.16,0.04,0.04,0.04,5.93,0.98,0.75,44.03,2.22,0.89,1.84,1.68,1.62
5,2020-01-01,05-06,98.1,48.79,45.65,6.0602993e-05,0.000132802857,0.000137548089,38.58,36.59,35.32,7.49,7.1,6.86,0.03,0.03,0.03,0.18,0.17,0.16,0.04,0.04,0.04,5.93,0.98,0.75,44.03,2.22,0.89,1.83,1.67,1.61
6,2020-01-01,06-07,97.96,48.65,45.52,6.1766856e-05,0.000134415284,0.000132156552,38.62,36.63,35.36,7.31,6.93,6.69,0.03,0.03,0.03,0.18,0.17,0.16,0.04,0.04,0.04,5.93,0.98,0.75,44.03,2.22,0.89,1.83,1.66,1.6
7,2020-01-01,07-08,97.63,48.34,52.19,6.6629604e-05,0.000134821785,0.000126104391,38.41,36.43,38.65,7.19,6.82,7.24,0.03,0.03,0.03,0.18,0.17,0.18,0.04,0.04,0.04,5.93,0.98,1.4,44.03,2.22,2.88,1.82,1.66,1.77
8,2020-01-01,08-09,97.09,48.1,51.7,7.8077415e-05,0.000118180368,9.8657427e-05,38.45,36.61,38.66,6.77,6.45,6.81,0.03,0.03,0.03,0.17,0.16,0.17,0.04,0.04,0.04,5.81,0.96,1.37,44.03,2.22,2.88,1.8,1.64,1.74
9,2020-01-01,09-10,96.98,48.05,51.61,0.000100882567,0.000113069906,7.6625519e-05,38.29,36.49,38.51,6.84,6.52,6.88,0.03,0.03,0.03,0.17,0.16,0.17,0.04,0.04,0.04,5.78,0.96,1.37,44.03,2.22,2.88,1.79,1.64,1.73
10,2020-01-01,10-11,94.08,45.51,48.78,0.00012402838,0.000123464592,8.3941276e-05,37.18,35.55,37.4,5.22,4.99,5.25,0.03,0.03,0.03,0.17,0.16,0.17,0.04,0.04,0.04,5.69,0.95,1.34,44.03,2.22,2.88,1.73,1.58,1.67
11,2020-01-01,11-12,93.3,44.85,47.98,0.000137031145,0.000123913531,8.7332931e-05,37.03,35.45,37.21,4.65,4.45,4.67,0.03,0.03,0.03,0.17,0.16,0.17,0.04,0.04,0.04,5.65,0.94,1.33,44.03,2.22,2.88,1.71,1.57,1.65
12,2020-01-01,12-13,93.52,112.17,48.25,0.000142184255,0.000106743615,8.4991425e-05,37.51,37.88,37.7,4.44,4.48,4.46,0.03,0.03,0.03,0.17,0.17,0.17,0.04,0.04,0.04,5.6,5.83,1.32,44.03,62.01,2.88,1.71,1.73,1.65
13,2020-01-01,13-14,92.46,111.14,111.14,0.000148404079,0.000107215914,8.1353716e-05,36.39,36.78,36.78,4.5,4.55,4.55,0.03,0.03,0.03,0.17,0.17,0.17,0.04,0.04,0.04,5.61,5.84,5.84,44.03,62.01,62.01,1.69,1.71,1.71
14,2020-01-01,14-15,93.5,112.15,112.15,0.000148023355,0.000105692943,7.9228434e-05,37.43,37.8,37.8,4.45,4.5,4.5,0.03,0.03,0.03,0.17,0.17,0.17,0.04,0.04,0.04,5.63,5.86,5.86,44.03,62.01,62.01,1.71,1.73,1.73
15,2020-01-01,15-16,95.64,114.35,114.35,0.000133436366,9.5182772e-05,7.1642167e-05,39.4,39.82,39.82,4.54,4.59,4.59,0.03,0.03,0.03,0.17,0.17,0.17,0.04,0.04,0.04,5.68,5.92,5.92,44.03,62.01,62.01,1.75,1.77,1.77
16,2020-01-01,16-17,100.29,119.04,119.04,0.000125900296,8.9505437e-05,6.8071902e-05,44.24,44.7,44.7,4.24,4.28,4.28,0.03,0.03,0.03,0.17,0.17,0.17,0.04,0.04,0.04,5.72,5.95,5.95,44.03,62.01,62.01,1.83,1.85,1.85
